12/27/2017,262
12/28/2017,355
12/29/2017,256
12/30/2017,139
1/2/2018,280
1/3/2018,238
1/4/2018,205
1/5/2018,228
1/8/2018,258
1/9/2018,177
1/10/2018,232
1/11/2018,236
1/12/2018,176
1/13/2018,114
1/15/2018,251
1/16/2018,227
1/17/2018,168
1/18/2018,164
1/19/2018,235
1/20/2018,111
1/21/2018,68
1/22/2018,211
1/23/2018,244
1/24/2018,220
1/25/2018,203
1/26/2018,177
1/27/2018,96
1/29/2018,242
1/30/2018,250
1/31/2018,225
2/1/2018,206
2/2/2018,153
2/3/2018,74
2/5/2018,262
2/6/2018,202
2/7/2018,146
2/8/2018,232
2/9/2018,200
2/10/2018,112
2/12/2018,242
2/14/2018,254
2/15/2018,231
2/16/2018,174
2/17/2018,190
2/18/2018,87
2/19/2018,265
2/20/2018,231
2/21/2018,209
2/22/2018,207
2/23/2018,157
2/24/2018,99
2/26/2018,237
2/27/2018,225
2/28/2018,180
3/1/2018,241
3/2/2018,151
3/3/2018,109
3/5/2018,179
3/6/2018,226
3/7/2018,235
3/8/2018,214
3/9/2018,165
3/10/2018,89
3/12/2018,206
3/13/2018,210
3/14/2018,172
3/15/2018,159
3/16/2018,147
3/17/2018,150
3/18/2018,51
3/19/2018,220
3/20/2018,192
3/21/2018,168
3/22/2018,172
3/23/2018,144
3/24/2018,90
3/26/2018,258
3/27/2018,186
3/28/2018,250
3/31/2018,162
4/2/2018,262
4/3/2018,281
4/4/2018,164
4/5/2018,185
4/6/2018,140
4/7/2018,105
4/9/2018,300
4/10/2018,176
4/11/2018,139
4/12/2018,126
4/13/2018,176
4/14/2018,188
4/15/2018,75
4/16/2018,218
4/17/2018,233
4/18/2018,175
4/19/2018,210
4/20/2018,176
4/21/2018,90
4/23/2018,203
4/24/2018,216
4/25/2018,188
4/26/2018,200
4/27/2018,202
4/28/2018,136
4/30/2018,272
5/2/2018,234
5/3/2018,274
5/4/2018,155
5/5/2018,99
5/7/2018,238
5/8/2018,166
5/9/2018,193
5/10/2018,213
5/11/2018,206
5/12/2018,144
5/13/2018,66
5/14/2018,219
5/15/2018,213
5/16/2018,217
5/17/2018,65
5/18/2018,299
5/19/2018,89
5/21/2018,232
5/22/2018,201
5/23/2018,220
5/24/2018,219
5/25/2018,166
5/26/2018,95
5/28/2018,239
5/29/2018,237
5/30/2018,186
5/31/2018,263
6/1/2018,165
6/2/2018,90
6/4/2018,245
6/5/2018,189
6/6/2018,190
6/7/2018,182
6/8/2018,228
6/9/2018,155
6/10/2018,84
6/11/2018,289
6/12/2018,213
6/13/2018,171
6/14/2018,208
6/15/2018,184
6/16/2018,113
6/18/2018,242
6/19/2018,203
6/20/2018,166
6/21/2018,217
6/22/2018,214
6/23/2018,109
6/25/2018,312
6/26/2018,241
6/27/2018,206
6/28/2018,302
6/29/2018,206
6/30/2018,169
7/2/2018,420
7/3/2018,286
7/4/2018,272
7/5/2018,234
7/6/2018,322
7/7/2018,230
7/8/2018,102
7/9/2018,298
7/10/2018,277
7/11/2018,387
7/12/2018,305
7/13/2018,263
7/14/2018,168
7/16/2018,344
7/17/2018,286
7/18/2018,284
7/19/2018,258
7/20/2018,189
7/21/2018,170
7/23/2018,346
7/24/2018,363
7/26/2018,471
7/27/2018,399
7/28/2018,186
7/30/2018,305
7/31/2018,362
8/1/2018,296
8/2/2018,308
8/3/2018,354
8/4/2018,285
8/5/2018,158
8/6/2018,438
8/7/2018,365
8/8/2018,317
8/9/2018,310
8/10/2018,259
8/11/2018,169
8/13/2018,390
8/14/2018,301
8/16/2018,407
8/18/2018,214
8/20/2018,461
8/21/2018,332
8/22/2018,296
8/23/2018,331
8/24/2018,321
8/25/2018,188
8/27/2018,342
8/28/2018,298
8/29/2018,295
8/30/2018,258
8/31/2018,342
9/1/2018,296
9/2/2018,101
9/3/2018,291
9/4/2018,276
9/5/2018,219
9/6/2018,326
9/7/2018,242
9/8/2018,171
9/10/2018,280
9/11/2018,221
9/12/2018,210
9/13/2018,235
9/14/2018,248
9/15/2018,156
9/17/2018,313
9/18/2018,228
9/19/2018,247
9/20/2018,216
9/21/2018,184
9/22/2018,113
9/24/2018,298
9/25/2018,226
9/26/2018,271
9/27/2018,242
9/28/2018,319
9/29/2018,213
9/30/2018,82
10/1/2018,307
10/2/2018,258
10/3/2018,276
10/4/2018,245
10/5/2018,214
10/6/2018,84
10/8/2018,272
10/9/2018,203
10/10/2018,182
10/11/2018,224
10/13/2018,135
10/15/2018,240
10/16/2018,222
10/17/2018,219
10/18/2018,153
10/19/2018,248
10/20/2018,122
10/22/2018,226
10/23/2018,189
10/24/2018,196
10/25/2018,209
10/26/2018,230
10/27/2018,171
10/28/2018,62
10/29/2018,252
10/30/2018,220
10/31/2018,296
11/1/2018,65
11/2/2018,213
11/3/2018,96
11/5/2018,275
11/6/2018,201
11/7/2018,165
11/8/2018,163
11/9/2018,202
11/10/2018,101
11/12/2018,241
11/13/2018,181
11/14/2018,229
11/15/2018,219
11/16/2018,152
11/17/2018,111
11/19/2018,207
11/20/2018,206
11/21/2018,183
11/22/2018,200
11/23/2018,187
11/24/2018,189
11/25/2018,76
11/26/2018,276
11/27/2018,220
11/28/2018,183
11/29/2018,251
11/30/2018,189
