datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,,,,,,
7/22/2019,Mon,18600,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,
7/24/2019,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,27100,,2,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
7/24/2019,Wed,18800,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,25400,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
7/24/2019,Wed,26300,,1,2,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,
7/24/2019,Wed,16100,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,16100,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,15000,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,
7/25/2019,Thur,18600,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,
7/25/2019,Thur,26800,,1,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,
7/25/2019,Thur,35000,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,
7/25/2019,Thur,38000,,5,,,,1,,,,1,,,,,,,,,,2,,,,,,,,,,
7/25/2019,Thur,23100,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
7/25/2019,Thur,17300,,,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,,
7/25/2019,Thur,19600,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7/25/2019,Thur,15300,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
7/25/2019,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7/25/2019,Thur,14300,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2019,Thur,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
7/25/2019,Thur,20000,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,,,,,
7/26/2019,Fri,25300,,1,1,,,3,,,,,,,,,,,,,1,,,,,,,,,,,
7/26/2019,Fri,73200,,4,3,,,6,,1,,2,,,,,,1,,,1,,,,,,,,,,,
7/26/2019,Fri,22800,,1,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,
7/26/2019,Fri,1293000,,6,5,,,5,,,,5,5,,,,,5,,,,,,,,,,,,,,
7/26/2019,Fri,15000,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
7/26/2019,Fri,20800,,1,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,
7/26/2019,Fri,25900,,3,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,
7/26/2019,Fri,28100,,2,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,
7/26/2019,Fri,15800,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
7/26/2019,Fri,35000,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
7/26/2019,Fri,22100,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,,,
7/26/2019,Fri,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7/27/2019,Sat,18800,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
7/27/2019,Sat,21800,,1,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7/27/2019,Sat,18600,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,
7/27/2019,Sat,33200,,2,2,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
7/27/2019,Sat,22800,,1,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,,,
7/27/2019,Sat,17000,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2019,Sat,16400,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7/27/2019,Sat,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7/27/2019,Sat,32600,,1,1,1,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,
7/28/2019,Sun,17300,,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,
7/28/2019,Sun,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7/28/2019,Sun,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
7/28/2019,Sun,14300,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
7/28/2019,Sun,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7/28/2019,Sun,25600,,2,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,,
7/28/2019,Sun,19500,,,1,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,
7/29/2019,Mon,24800,,1,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,
7/29/2019,Mon,24100,,2,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
7/28/2019,Mon,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
7/29/2019,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
7/29/2019,Mon,14800,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
7/29/2019,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
7/29/2019,Mon,27900,,3,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
7/29/2019,Mon,15800,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
7/29/2019,Mon,18100,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,
7/29/2019,Mon,28000,,,,,,1,,,,,1,,,1,,1,,,,,1,,,,,,,,,
